Breed Name,Height,Size,Weight(lbs),Lifespan,Fur colors,Personality,About
Husky,"21-23.5 inches (male), 20-22 inches (female)",Large,"45-60 lbs (male), 35-50 lbs (female)",12-14 years,"White, black, grey, brown","Loyal, Outgoing","Originating from Siberia is the popular thick coated Siberian Husky. They are intelligent and thrive on human company! Their typical lifespan ranges from 12-14 years and are naturally clean with little odor. Growing up to 60lbs and 24in tall, they are medium sized working dogs with great power and athleticism. Most owners are drawn to these dogs because of their beauty but they should keep in mind that Huskies are extremely difficult to train and have a reputation for being an escape artist. They have common health issues that most dogs are at risk for, like hip dysplasia and eye disease, but they are generally a relatively healthy breed of dog."
Retriever,"23-24 inches (male), 21.5-22.5 inches (female)",Large,"65-75 lbs (male), 55-65 lbs (female)",10-12 years,"Cream, golden, dark golden","Friendly, Intelligent","This rapid growing big ball of golden fur is known as the Golden Retriever. They are family dogs so make sure to include them in your family activities. They are lively and need their daily exercise. Since the Retriever is so popular, there are many people breeding Goldens who care more about making money out of the demand for puppies than breeding happy, healthy dogs. So make sure you trust and look for a reputable breeder and check for health clearances. Some of the health conditions they’re prone to include: Hip Dysplasia, Elbow Dysplasia, Cataracts, Progressive Retinal Atrophy (PRA), Subvalvular Aortic Stenosis, Osteochondrosis Dissecans (OCD), Von Willebrand's Disease, Gastric Dilatation-Volvulus, Epilepsy, Hypothyroidism, Hemangiosarcoma, and Osteosarcoma."
Shepherd,"24-26 inches (male), 22-24 inches (female)",Large,"65-90 lbs (male), 50-70 lbs (female)",7-10 years,"Brown, black, sable","Courageous, Smart","The embodiment of heroism is the German Shepherd. Breed to be intelligent working dogs, the Shepherd is an amazing companion. The German Shepherd isn't the breed for you if you're away from home frequently or for long periods of time. When left alone, they can become anxious or bored and are likely to express their worry in ways you don't like, such as barking, chewing, and digging. Not all German Shepherds will get any or all of these diseases, but it's important to be aware of them if you're considering this breed. Some of the conditions include: Hip Dysplasia, Elbow Dysplasia, Gastric Dilatation-Volvulus, Degenerative Myelopathy, Exocrine Pancreatic Insufficiency, and allergies."
Bulldog,14-15 inches,Small,"50 lbs (male), 40 lbs (female)",8-10 years,"White, black, tan, grey","Friendly, calm","Taking the #4 most popular dog breeds in the US are the Bulldog. Sometimes called the English Bulldog or the British Bulldog, the breed originated in England. Despite cartoon depictions of them as ferocious dogs, today's Bulldogs are bred to be affectionate and kind. Bulldogs can have a lot of health problems so be sure you're willing to monitor their health closely and can afford any medical treatment they may need. Conditions include: Cherry eye, dry eye, Entropion, Inverted Or Reverse Sneezing, Brachycephalic Syndrome, Head Shakes, Demodicosis, Hip Dysplasia, Tail Problems, Patellar luxation."
Boxer,"23-25 inches (male), 21.5-23.5 inches (female)",Large,"65-80 lbs (male), 50-65(female)",10-12 years,"Brown, black, white","Bright, active, loving","Originating from Germany is the large, muscular, square-headed Boxer. The typical Boxer is intelligent, alert, and fearless, yet friendly. Training is essential because of their strong build they need to learn to control their actions. They're loyal to their family and love to play with them, but they're also headstrong, especially if you try to use harsh training methods with them. Boxers are generally healthy, but like all breeds, they're prone to certain health conditions. Some conditions to look out for is cancer, Aortic stenosis/sub-aortic stenosis, Boxer cardiomyopathy, Hip Dysplasia, Corneal Dystrophy, Demodectic Mange, Gastric dilatation-volvulus (GDV), Allergies, Deafness. "
Pug,10-13 inches,Small,14-18 lbs,13-15 years,"Black, tan, white","Mischievous, loving","Originating from China is the derpy, flat-faced Pug. Growing up to 13in and 18lbs, this type of breed are considered toy dogs. They are fun loving and always ready to play. They are also quick witted and can master basic training. A Pug’s flat face means the little dog is capable of a variety of unusual noises. From wheezy breathing to snoring to occasional barking, life with a Pug is usually a symphony of sounds. Some other health conditions to look out for when owning a pug is eye disorders, skin infections, Brachycephalic Syndrome, Heart Disease, and Hip Dysplasia."
Poodle,> 15 inches (standard),Medium,"60-70 lbs (male), 40-50 lbs (female)",10-18 years,"Black, brown, grey, white","Active, intelligent","Originating from Germany is the curly haired Poodle. They can come in three sizes (toy, miniature, standard), and are among the most intelligent breeds. Since they are so intelligent, they need lots of mental stimulation to prevent them from being bored. When they are bored they can get destructive. Some common health concerns include hip dysplasia, progressive retinal atrophy, epilepsy, Addison’s disease, thyroid issues, hypoglycemia, bloat, and collapsed trachea. Standard Poodles are also at a higher risk than other breeds for certain cancers, including insulinoma and hemangiosarcoma."
Corgi,10-12 inches,Small,"<= 30 lbs (male), <= 28 lbs (female)",12-13 years,"Tan, white, golden","Affectionate, smart","Originating in Wales is the active, short-legged Corgi. They fit into just about any household and are perfect for those who want a small burst of energy in their life. Corgi’s are eager and easy to train with an average life span of 12-13 years. With short legs, they reach up to 12 in. in height and weighs up to 30lbs. Some health concerns include hip dysplasia, eye problems such as progressive retinal atrophy (PRA), retinal dysplasia and persistent pupillary membranes, and hypothyroidism."
Beagle,13-15 inches,Small,20-30 lbs,10-15 years,"White, chocolate, orange, tan","Friendly, curious","Not only is the Beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. Small, compact, and hardy, Beagles are active companions for kids and adults alike. Canines of this dog breed are merry and fun loving, but being hounds, they can also be stubborn and require patient, creative training techniques. The most important thing to know about the Beagle is that he is a scenthound. His nose is the most important part of his anatomy and his head is always down to the ground, searching for an interesting trail to follow. It is important to keep in mind that Beagles are more prone to epilepsy than other breeds."
Chihuahua, 5-8 inches,Very small,<= 6 lbs,14-16 years,"Black, white, fawn, cream, brown","Charming, Sassy","The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times. Chihuahuas love nothing more than being with their people — even novice pet parents — and require a minimum of grooming and exercise. They make excellent apartment dogs who’ll get along with the whole family. Just make sure any children who approach know how to play gently with a small dog. Chihuahuas and other toy breeds may suffer from collapsing trachea. In severe cases, surgery will be required."
